X,sample,DR_count,shannon_div,evenness,nei_div,EMPO_level1,EMPO_level2,EMPO_level3
1,ERR1989828,457,6.130281643,0.813426965,0.001768988,host_associated,animal,animal_secretion
2,ERR2182130,945,8.854600641,0.881937634,0.002292598,host_associated,animal,animal_surface
3,ERR2182131,1223,9.073444024,0.894721129,0.003227016,host_associated,animal,animal_surface
4,ERR2182132,1152,8.68108675,0.871116121,0.003776044,host_associated,animal,animal_surface
5,ERR2182133,1045,8.890925429,0.882610539,0.003839971,host_associated,animal,animal_surface
6,ERR2182134,1014,8.909208893,0.889862538,0.003723676,host_associated,animal,animal_surface
7,ERR2182135,1048,9.345926175,0.917360993,0.001985281,host_associated,animal,animal_surface
8,ERR2182136,926,9.158749539,0.888893651,0.002706996,host_associated,animal,animal_surface
9,ERR2182137,1064,9.401667329,0.914687012,0.002373513,host_associated,animal,animal_surface
10,ERR2182138,1166,9.216272849,0.908717025,0.003245839,host_associated,animal,animal_surface
11,ERR2182139,1306,9.644726254,0.925537759,0.002325683,host_associated,animal,animal_surface
12,ERR2182416,1268,9.355182604,0.918585621,0.002544686,host_associated,animal,animal_surface
13,ERR2182417,1400,9.007205446,0.89898033,0.002567136,host_associated,animal,animal_surface
14,ERR2182418,1365,9.639401846,0.927398028,0.002250462,host_associated,animal,animal_surface
15,ERR2182419,1281,9.554909328,0.924736819,0.002558447,host_associated,animal,animal_surface
16,ERR2182420,1267,9.486827299,0.922012591,0.002487007,host_associated,animal,animal_surface
17,ERR1299062,3055,8.65660911,0.905248708,0.005996418,host_associated,animal,distal_gut
18,ERR1299063,4154,8.535901263,0.897823275,0.006417265,host_associated,animal,distal_gut
19,ERR1299064,4205,8.62110215,0.902610103,0.006447105,host_associated,animal,distal_gut
20,ERR1299065,4685,8.661531809,0.904843309,0.006216874,host_associated,animal,distal_gut
21,ERR1299066,4055,8.781489951,0.902090901,0.009795428,host_associated,animal,distal_gut
22,ERR1414209,964,8.812015023,0.924376253,0.003855606,host_associated,animal,distal_gut
23,ERR1414210,1058,8.821516549,0.922182229,0.003866212,host_associated,animal,distal_gut
24,ERR1414211,1063,8.811879115,0.919717067,0.003539739,host_associated,animal,distal_gut
25,ERR1414212,779,8.512872884,0.942955918,0.002896452,host_associated,animal,distal_gut
26,ERR1414214,863,8.477546198,0.941051259,0.003032928,host_associated,animal,distal_gut
27,ERR1414216,1606,8.701253161,0.934831552,0.002971354,host_associated,animal,distal_gut
28,ERR1414217,1673,8.811514924,0.940337589,0.002549208,host_associated,animal,distal_gut
29,ERR1414219,1834,8.918852488,0.943442313,0.002620689,host_associated,animal,distal_gut
30,ERR1414230,810,8.296574518,0.930796317,0.003161909,host_associated,animal,distal_gut
31,ERR1414233,1366,8.471963342,0.932475182,0.00335603,host_associated,animal,distal_gut
32,ERR1414238,1134,8.477557409,0.893164033,0.003242309,host_associated,animal,distal_gut
33,ERR1414240,889,8.4793579,0.900864789,0.003469418,host_associated,animal,distal_gut
34,ERR1414241,937,8.579809881,0.903114594,0.003384712,host_associated,animal,distal_gut
35,ERR1414245,1006,8.33377652,0.892304294,0.00349997,host_associated,animal,distal_gut
36,ERR1414246,1061,8.276522288,0.884255129,0.003435272,host_associated,animal,distal_gut
37,ERR1414247,1094,8.460788321,0.891852328,0.003112157,host_associated,animal,distal_gut
38,ERR1414248,1196,8.482267442,0.892461381,0.003161837,host_associated,animal,distal_gut
39,ERR1414252,1012,8.600311496,0.907705724,0.00350563,host_associated,animal,distal_gut
40,ERR1414253,1020,8.438977772,0.892304125,0.003551683,host_associated,animal,distal_gut
41,ERR1414257,1052,7.718500199,0.896215982,0.002695059,host_associated,animal,distal_gut
42,ERR1414265,949,8.385914344,0.933043763,0.003041794,host_associated,animal,distal_gut
43,ERR1414267,913,8.807604736,0.927465683,0.003807355,host_associated,animal,distal_gut
44,ERR1543539,4639,7.441586162,0.799372874,0.001719492,host_associated,animal,distal_gut
45,ERR1543540,4501,7.311694178,0.79678695,0.001616251,host_associated,animal,distal_gut
46,ERR1543542,2437,8.870833254,0.890417223,0.004663814,host_associated,animal,distal_gut
47,ERR1543544,2856,7.419160908,0.818359685,0.001434925,host_associated,animal,distal_gut
48,ERR1543545,2137,8.736353276,0.884699938,0.00484667,host_associated,animal,distal_gut
49,ERR1543546,1838,8.938578553,0.898096747,0.004669902,host_associated,animal,distal_gut
50,ERR1543550,3236,7.193506921,0.807042681,0.001120248,host_associated,animal,distal_gut
51,ERR1543552,3634,7.203675148,0.801962277,0.00110916,host_associated,animal,distal_gut
