,4C0d-2,Acidimicrobiia,Acidobacteria,Actinobacteria,Alphaproteobacteria,AMV16,Anaerolineae,Aquificae,Archaeoglobi,Armatimonadia,Bacilli,bacterium EM-19,Bacteroidia,Betaproteobacteria,Caldilineae,candidate division TM7 genomosp. GTL1,Candidatus Caldiarchaeum subterraneum,Candidatus Chloracidobacterium,Candidatus Haloredivivus sp. G17,Candidatus Korarchaeum,Candidatus Methylacidiphilum,Candidatus Micrarchaeum acidiphilum ARMAN-2,Candidatus Nitrosocaldus,Candidatus Pedosphaera,Candidatus Thiobios,CF2,Chlamydiae,Chlorobia,Chloroflexi,Chrysiogenetes,Chthonomonadetes,Class Incertae Sedis,Clostridia,Coriobacteriia,Cyanobacteria,Cytophagia,Deferribacteres,Dehalococcoidetes,Deinococci,Deltaproteobacteria,Dictyoglomia,EB080L20-F04,Elusimicrobia,Epsilonproteobacteria,Erysipelotrichi,Fibrobacteria,Fimbriimonas ginsengisoli Gsoil 348,Flavobacteria,Fusobacteria,Gammaproteobacteria,Gemmatimonadetes,GN02 bacterium canine oral taxon 291,GN02 bacterium canine oral taxon 323,GN02 bacterium canine oral taxon 364,GN02 bacterium canine oral taxon 394,Halobacteria,Holophagae,Ignavibacteria,KD4-96,Ktedonobacteria,Lentisphaeria,MACA-EFT26,Marine Benthic Group A,Marine Group I,MC-1,Methanobacteria,Methanococci,Methanomicrobia,Methanopyri,Mollicutes,Nitriliruptoria,Nitrospira,OM190,OPB35 soil group,Opitutae,Phycisphaerae,Planctomycetacia,Rubrobacteria,SHA-109,SM1D11,Soil Crenarchaeotic Group,Spartobacteria,Sphingobacteriia,Spirochaetes,SR1 bacterium canine oral taxon 369,SR1 bacterium canine oral taxon 380,SR1 bacterium canine oral taxon 382,Synergistia,Thermococci,Thermodesulfobacteria,Thermoleophilia,Thermomicrobia,Thermoplasmata,Thermoprotei,Thermotogae,TK10,TM7 phylum sp. canine oral taxon 237,TM7 phylum sp. canine oral taxon 250,TM7 phylum sp. canine oral taxon 305,TM7 phylum sp. canine oral taxon 308,TM7 phylum sp. canine oral taxon 322,TM7 phylum sp. canine oral taxon 363,toluene-degrading methanogenic consortium bacterium,unassigned,vadinHA49,Verrucomicrobia bacterium YJF2-48,Verrucomicrobiae
ERR1078374,0,0,0,0.053416149068323,0.300621118012422,0,0,0,0,0,0.000745341614906832,0,0,0.219378881987578,0,0,0,0,0,0,0,0,0,0,0,0,0.000248447204968944,0,0,0,0,0,0.000248447204968944,0,0,0.000993788819875776,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.368944099378882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000248447204968944,0,0,0,0,0,0,0,0,0,0,0,0,0.00819875776397515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00695652173913044,0,0,0
ERR1078377,0,0,0,0.088780236747298,0.355635615028307,0,0,0,0,0,0.000257334019557386,0,0.000257334019557386,0.203293875450335,0,0,0,0,0,0,0,0,0,0,0,0,0.000257334019557386,0,0,0,0,0,0,0,0,0.000772002058672156,0,0,0,0.000257334019557386,0,0,0,0,0,0,0,0.0877509006690684,0,0.241379310344828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000257334019557386,0,0.000257334019557386,0,0,0,0,0,0,0,0,0,0,0.00617601646937725,0.000772002058672156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138960370560988,0,0,0
ERR1163070,0,0.00960170697012802,0,0.0487197724039829,0.0448079658605974,0,0,0.000711237553342817,0,0,0.0405405405405405,0,0.00177809388335704,0.0721906116642959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000355618776671408,0.000355618776671408,0,0,0,0.0138691322901849,0,0.000711237553342817,0.00106685633001422,0,0.00177809388335704,0.000355618776671408,0.00533428165007112,0,0,0,0.00177809388335704,0,0,0.000355618776671408,0.102062588904694,0,0.603129445234708,0,0,0,0,0,0.00106685633001422,0,0,0,0,0,0.000355618776671408,0,0.00960170697012802,0,0,0.00106685633001422,0.00213371266002845,0,0.000355618776671408,0,0,0,0,0.000711237553342817,0,0.00533428165007112,0,0,0,0,0,0.00177809388335704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277382645803698,0,0,0.000355618776671408
ERR1163071,0,0.0142658315935978,0,0.0504523312456507,0.0459290187891441,0,0,0.00069589422407794,0,0,0.0427974947807933,0,0.00313152400835073,0.0619345859429367,0,0,0,0,0,0,0,0,0,0,0,0.00104384133611691,0.00034794711203897,0,0,0,0,0,0.00800278357689631,0,0.00104384133611691,0.00034794711203897,0,0.00034794711203897,0.00034794711203897,0.00208768267223382,0.00139178844815588,0,0,0.00382741823242867,0,0,0,0.0953375086986778,0,0.614126652748782,0,0,0,0,0,0.00069589422407794,0,0,0,0,0,0,0,0.011134307585247,0,0,0.00034794711203897,0.00173973556019485,0,0.00034794711203897,0,0,0,0,0.00173973556019485,0,0.00417536534446764,0,0,0,0,0,0.00278357689631176,0,0,0,0,0,0,0,0,0,0.00139178844815588,0,0.00034794711203897,0,0,0,0,0,0,0,0,0.0274878218510786,0,0,0.00034794711203897
ERR1163082,0,0.00045341192473362,0.00022670596236681,0.00272047154840172,0.00476082520970302,0,0.000680117887100431,0.00362729539786896,0.00045341192473362,0,0.00521423713443664,0.00022670596236681,0.00204035366130129,0.000906823849467241,0,0,0,0,0,0,0,0,0,0.00022670596236681,0,0,0.00022670596236681,0.00022670596236681,0,0,0,0,0.00702788483337112,0.00022670596236681,0.000680117887100431,0.00113352981183405,0.000906823849467241,0.00045341192473362,0.000906823849467241,0.0616640217637724,0.00022670596236681,0,0,0.647018816594876,0.000906823849467241,0.00022670596236681,0,0.0045341192473362,0.0022670596236681,0.0238041260485151,0,0,0.00022670596236681,0,0,0.00045341192473362,0,0,0,0,0.00181364769893448,0,0,0.00430741328496939,0,0.00022670596236681,0.144638403990025,0.00045341192473362,0.00022670596236681,0.0022670596236681,0,0.00022670596236681,0,0,0.000680117887100431,0,0.00181364769893448,0,0,0,0,0,0.00136023577420086,0.0045341192473362,0,0,0,0.00045341192473362,0.00136023577420086,0.00158694173656767,0,0,0.00022670596236681,0.00272047154840172,0.00045341192473362,0,0,0,0,0,0,0,0,0.0557696667422353,0,0,0.00022670596236681
ERR1163083,0,0.000232018561484919,0,0.00232018561484919,0.00464037122969838,0,0.000464037122969838,0.00417633410672854,0.00116009280742459,0,0.00440835266821346,0,0.00417633410672854,0.000464037122969838,0,0.000232018561484919,0,0,0,0,0,0,0,0,0,0,0.00116009280742459,0.000232018561484919,0,0,0,0.000232018561484919,0.00765661252900232,0.000232018561484919,0.00116009280742459,0.00116009280742459,0.000232018561484919,0.000464037122969838,0,0.0624129930394432,0.000232018561484919,0,0,0.650116009280742,0.00116009280742459,0,0,0.00510440835266821,0.00162412993039443,0.0250580046403712,0,0,0.000232018561484919,0,0,0.000464037122969838,0,0,0,0,0.00208816705336427,0,0,0.00394431554524362,0,0,0.140603248259861,0.000232018561484919,0,0.000928074245939675,0,0,0,0,0.000232018561484919,0,0.000464037122969838,0,0,0,0,0,0.000928074245939675,0.00626450116009281,0,0,0,0,0.000464037122969838,0.000232018561484919,0.000232018561484919,0,0.000464037122969838,0.00232018561484919,0.00185614849187935,0,0,0,0,0,0,0,0,0.0568445475638051,0,0,0.000696055684454756
ERR1163084,0,0.00116577290743763,0.000699463744462579,0.00163208207041268,0.00326416414082537,0,0.000233154581487526,0.00396362788528795,0.000466309162975052,0,0.00326416414082537,0,0.00373047330380042,0.00116577290743763,0,0,0,0,0,0,0,0,0,0,0,0.000233154581487526,0.000466309162975052,0.000233154581487526,0.000233154581487526,0,0,0,0.0053625553742131,0,0.000699463744462579,0.000932618325950105,0.000932618325950105,0,0,0.0606201911867568,0.000466309162975052,0,0,0.644905572394498,0.00116577290743763,0,0,0.00582886453718816,0.00116577290743763,0.0235486127302401,0,0,0.000233154581487526,0,0,0.000233154581487526,0,0,0,0,0.00116577290743763,0,0,0.00349731872231289,0,0.000233154581487526,0.152949405455817,0,0,0.00256470039636279,0,0,0,0,0.000932618325950105,0,0.00163208207041268,0,0,0,0,0,0.000932618325950105,0.00512940079272558,0,0,0,0.000466309162975052,0.000466309162975052,0.000932618325950105,0,0,0.000466309162975052,0.00163208207041268,0.00163208207041268,0,0,0,0,0,0,0,0,0.0582886453718816,0,0,0.000233154581487526
ERR1163085,0,0.000229305205228159,0,0.00343957807842238,0.00343957807842238,0,0,0.00458610410456317,0.000687915615684476,0,0.00458610410456317,0,0.00298096766796606,0.00160513643659711,0,0.000229305205228159,0,0,0,0,0,0,0,0,0,0.000229305205228159,0.000458610410456317,0.000229305205228159,0,0,0,0.000229305205228159,0.00504471451501949,0.000229305205228159,0.000687915615684476,0.00206374684705343,0.000229305205228159,0,0.000229305205228159,0.0660398991057097,0.000229305205228159,0,0.000229305205228159,0.653290529695024,0.00160513643659711,0,0,0.00481540930979133,0.00160513643659711,0.0238477413437285,0,0,0,0,0,0.000229305205228159,0,0,0,0,0.0027516624627379,0,0,0.00321027287319422,0,0,0.137353817931667,0.00114652602614079,0.000458610410456317,0.00206374684705343,0,0.000229305205228159,0,0.000229305205228159,0.000229305205228159,0,0.00137583123136895,0,0,0,0,0,0.00206374684705343,0.00550332492547581,0,0,0,0,0.00183444164182527,0.000458610410456317,0,0,0,0.00160513643659711,0.00252235725750975,0,0,0,0,0,0,0,0,0.0531988076129328,0,0,0.000458610410456317
ERR1163086,0,0.000234027615258601,0,0.0021062485373274,0.00468055230517201,0,0,0.00327638661362041,0.000468055230517201,0,0.00631874561198221,0,0.00257430376784461,0.00257430376784461,0,0,0,0,0,0,0,0,0,0,0,0,0.000234027615258601,0,0,0,0,0,0.00608471799672361,0.000234027615258601,0.000702082845775802,0.000936110461034402,0.000468055230517201,0,0.000468055230517201,0.0603791247367189,0,0,0,0.650128715188392,0.001170138076293,0,0,0.00561666276620641,0.0018722209220688,0.0215305406037912,0,0,0,0.000234027615258601,0,0.000468055230517201,0,0,0,0,0.0016381933068102,0,0,0.00491457992043061,0,0.000234027615258601,0.146501287151884,0.000702082845775802,0.000702082845775802,0.00304235899836181,0,0.000234027615258601,0,0,0.000234027615258601,0,0.0021062485373274,0,0,0,0,0,0.0016381933068102,0.00561666276620641,0,0,0,0.000234027615258601,0.000234027615258601,0,0,0,0,0.0018722209220688,0.0021062485373274,0,0,0,0,0,0,0,0,0.0549964895857711,0,0,0.000234027615258601
ERR1163094,0,0.000432058759991359,0.000216029379995679,0.00302441131993951,0.00712896953985742,0,0,0.00259235255994815,0.000216029379995679,0,0.00518470511989631,0,0.00237632317995247,0.00216029379995679,0,0,0,0,0,0,0,0,0,0,0,0,0.000648088139987038,0.000216029379995679,0.000216029379995679,0,0,0.000216029379995679,0.00518470511989631,0.000432058759991359,0.000432058759991359,0.00129617627997408,0.000216029379995679,0.000216029379995679,0,0.0710736660185785,0,0,0,0.643551523007129,0.0010801468999784,0,0,0.00648088139987038,0.000864117519982718,0.0213869086195723,0,0,0.000216029379995679,0,0,0.000432058759991359,0,0,0,0,0.000864117519982718,0,0,0.00496867573990063,0,0.000216029379995679,0.145387772737092,0.000216029379995679,0,0.00194426441996111,0,0,0,0.000216029379995679,0.000216029379995679,0,0.00129617627997408,0,0,0,0,0,0.00151220565996976,0.00604882263987902,0,0,0,0.000216029379995679,0.000864117519982718,0.000864117519982718,0.000216029379995679,0,0,0.00302441131993951,0.00129617627997408,0,0,0,0,0,0,0,0,0.0522791099589544,0,0,0.000864117519982718
