sample,viral_load
ERR1078374,2014.248622123
ERR1078377,2049.727148125
ERR1163070,1435.552835803
ERR1163071,1449.008132
ERR1163082,779.787321789
ERR1163083,784.090950973
ERR1163084,759.461835904
ERR1163085,756.403491042
ERR1163086,774.248725188
ERR1163094,766.593300487
ERR1163106,811.439798663
ERR1163108,772.1467632909
ERR1163109,835.656070418
ERR1163125,947.209041665
ERR1163126,928.81778049
ERR1163129,919.355437009
ERR1163135,880.62393598
ERR1299062,22135.891992888
ERR1299063,26640.594963615
ERR1299064,26644.043629072
ERR1299065,26342.184676266
ERR1299066,76831.27319234
ERR1414209,1809.268471558
ERR1414210,1965.469753256
ERR1414211,1979.975225105
ERR1414212,1174.902792902
ERR1414214,1160.319389579
ERR1414216,2249.401182417
ERR1414217,2389.3683803469
ERR1414219,2595.233032384
ERR1414230,935.836207997
ERR1414233,1526.416940553
ERR1414238,2075.4411020169
ERR1414240,1745.749250168
ERR1414241,2075.67890533
ERR1414245,1772.639791201
ERR1414246,1848.969439821
ERR1414247,2177.239309419
ERR1414248,2110.480152127
ERR1414252,1897.670354787
ERR1414253,2039.177805686
ERR1414254,1989.336252118
ERR1414257,792.991456884
ERR1414258,841.328415244
ERR1414259,881.022040637
ERR1414260,848.707396139
ERR1414261,985.697570964
ERR1414262,992.439533098
ERR1414263,814.335943264
ERR1414264,864.20055023
ERR1414265,1002.298416191
ERR1414266,1003.318848515
ERR1414267,1670.810822717
ERR1474558,30477.820363189
ERR1474559,5195.808694883
ERR1474560,4860.351935071
ERR1474561,3816.70616487
ERR1474562,4153.448873614
ERR1474563,4692.97418157
ERR1543539,14833.295731968
ERR1543540,13220.998849653
ERR1543542,7099.016116374
ERR1543544,8261.152832742
ERR1543545,6204.857212353
ERR1543546,6938.2076075087
ERR1543550,11465.28600827
ERR1543552,13323.662212417
ERR1543556,12307.961801745
ERR1543557,12823.786676894
ERR1543558,15458.847036629
ERR1543560,10687.235875832
ERR1543561,10384.764071811
ERR1543944,23192.46599053
ERR1543950,4779.752608243
ERR1543952,10754.720504892
ERR1543953,13569.509595896
ERR1543954,15800.739168331
ERR1543973,12288.283597926
ERR1543986,13121.65883901
ERR1543995,7819.897633202
ERR1698980,17886.225371778
ERR1698981,913.727346909
ERR1698982,1300.320473856
ERR1698983,913.959852172
ERR1698984,1342.066907353
ERR1698985,2920.65215657
ERR1698986,10750.152868805
ERR1698987,22938.085880552
ERR1698988,1617.340257158
ERR1698989,1877.190628287
ERR1698990,3426.801686569
ERR1698991,33018.572602728
ERR1698992,1570.740326139
ERR1698993,2161.62757317
ERR1698994,1523.996325403
ERR1698995,24225.590067416
ERR1719932,5923.559037397
ERR1739691,902.231463047
ERR1739692,770.505139238
ERR1739693,1002.174371147
ERR1739694,889.505119888
ERR1739695,916.023767981
ERR1739696,964.733206128
ERR1739697,891.453378134
ERR1739698,1015.258645442
ERR1739699,733.804274599
ERR1739731,2784.397033423
ERR1739732,2188.071452537
ERR1739733,3417.424937704
ERR1742997,1436.607883797
ERR1742998,1425.005332126
ERR1742999,1150.799074199
ERR1743000,1125.791275454
ERR1743001,1830.508101004
ERR1743002,1759.549717442
ERR1743274,382.382250394
ERR1743275,336.074288544
ERR1743280,379.280939789
ERR1743281,440.509684387
ERR1743283,298.574693548
ERR1743288,377.37934638
ERR1743292,885.3585671709
ERR1743304,239.788102662
ERR1743309,714.377063456
ERR1743312,1288.947705185
ERR1743313,215.580985455
ERR1743315,288.548631957
ERR1743320,197.373183336
ERR1743334,464.943314782
ERR1743344,410.305971072
ERR1743349,460.140217563
ERR1743355,385.234787919
ERR1743384,458.823194594
ERR1743391,654.575633132
ERR1743392,425.426932267
ERR1743393,298.909477558
ERR1744180,11120.859773263
ERR1744181,14588.845247703
ERR1744182,19882.025818304
ERR1744183,10427.741316224
ERR1744184,8584.387174848
ERR1744185,10156.49319015
ERR1744186,10160.862038912
ERR1744187,12525.576150663
ERR1744188,10122.167693046
ERR1744189,9716.594554147
ERR1745249,13034.131136985
ERR1777681,996.600414685
ERR1794058,155.834322785
ERR1794059,124.875909078
ERR1823510,5307.892670197
ERR1823511,4315.558473496
ERR1823512,2835.898161496
ERR1876141,4617.743427359
ERR1901819,1905.884083736
ERR1901826,1617.455276085
ERR1989828,2992.535593359
ERR1995156,3151.989444754
ERR1995157,3194.817686455
ERR1995158,1883.185492232
ERR1995198,2026.020096077
ERR1995199,1454.140325443
ERR1995200,1398.377459989
ERR1995201,1321.3446040848
ERR1995202,595.16380735
ERR1995203,1513.5986703
ERR1995204,20081.596469844
ERR1995205,21315.064631225
ERR1995206,20775.334585148
ERR2094164,1879.366608266
ERR2094165,8061.435671061
ERR2094166,2744.76106106
ERR2094167,4580.628829588
ERR2094168,4526.581302589
ERR2094169,5280.758238897
ERR2094170,1861.339715015
ERR2094171,46085.6464048878
ERR2094172,5547.807264171
ERR2094173,11736.8021115833
ERR2094174,9626.27152508
ERR2094175,71463.079749634
ERR2094176,11526.866168802
ERR2143759,2973.986662679
ERR2143760,2580.565792202
ERR2143761,2030.989232634
ERR2143762,621.102029283
ERR2143764,2492.152207054
ERR2143766,1227.0248506
ERR2143767,1976.926910725
ERR2143771,5211.396898797
ERR2143772,5033.491421312
ERR2143773,2774.35838067
