sample,n_ctg
ERR1078374,7933
ERR1078377,7990
ERR1163070,5895
ERR1163071,6047
ERR1163082,2871
ERR1163083,2933
ERR1163084,2886
ERR1163085,2795
ERR1163086,2899
ERR1163094,2888
ERR1163106,4725
ERR1163108,4767
ERR1163109,4792
ERR1163125,5206
ERR1163126,5099
ERR1163129,5165
ERR1163135,5080
ERR1299062,14224
ERR1299063,13458
ERR1299064,14063
ERR1299065,14363
ERR1299066,16892
ERR1414209,13807
ERR1414210,14270
ERR1414211,14488
ERR1414212,8332
ERR1414214,8173
ERR1414216,11024
ERR1414217,11738
ERR1414219,12753
ERR1414230,7431
ERR1414233,8826
ERR1414238,13248
ERR1414240,12240
ERR1414241,13363
ERR1414245,11380
ERR1414246,11613
ERR1414247,13184
ERR1414248,13418
ERR1414252,13027
ERR1414253,12804
ERR1414254,12461
ERR1414257,5499
ERR1414258,5343
ERR1414259,6828
ERR1414260,6580
ERR1414261,6123
ERR1414262,6237
ERR1414263,6895
ERR1414264,6873
ERR1414265,8004
ERR1414266,7983
ERR1414267,13312
ERR1474558,63772
ERR1474559,22622
ERR1474560,21759
ERR1474561,15462
ERR1474562,17330
ERR1474563,17798
ERR1543539,11040
ERR1543540,9667
ERR1543542,21217
ERR1543544,8655
ERR1543545,19437
ERR1543546,21011
ERR1543550,7431
ERR1543552,7963
ERR1543556,8002
ERR1543557,8156
ERR1543558,9149
ERR1543560,29869
ERR1543561,29783
ERR1543944,5551
ERR1543950,4447
ERR1543952,6087
ERR1543953,5700
ERR1543954,9477
ERR1543973,15848
ERR1543986,15858
ERR1543995,8763
ERR1698980,72135
ERR1698981,1597
ERR1698982,4071
ERR1698983,1177
ERR1698984,2371
ERR1698985,9328
ERR1698986,16014
ERR1698987,74216
ERR1698988,4183
ERR1698989,4636
ERR1698990,10510
ERR1698991,104758
ERR1698992,5945
ERR1698993,8631
ERR1698994,4481
ERR1698995,95429
ERR1719932,18956
ERR1739691,5123
ERR1739692,5259
ERR1739693,5433
ERR1739694,4823
ERR1739695,4261
ERR1739696,4823
ERR1739697,3471
ERR1739698,3350
ERR1739699,3319
ERR1739731,9901
ERR1739732,7292
ERR1739733,8476
ERR1742997,7130
ERR1742998,7093
ERR1742999,5610
ERR1743000,5537
ERR1743001,6779
ERR1743002,6716
ERR1743274,5760
ERR1743275,4755
ERR1743280,6252
ERR1743281,6899
ERR1743283,5323
ERR1743288,5689
ERR1743292,4549
ERR1743304,2438
ERR1743309,2209
ERR1743312,2889
ERR1743313,2550
ERR1743315,2780
ERR1743320,2788
ERR1743334,3693
ERR1743344,3295
ERR1743349,2876
ERR1743355,3457
ERR1743384,5398
ERR1743391,3950
ERR1743392,5414
ERR1743393,4658
ERR1744180,21584
ERR1744181,17951
ERR1744182,3987
ERR1744183,14931
ERR1744184,21067
ERR1744185,15318
ERR1744186,20347
ERR1744187,21692
ERR1744188,17534
ERR1744189,20846
ERR1745249,2599
ERR1777681,3386
ERR1794058,4104
ERR1794059,3466
ERR1823510,10355
ERR1823511,9052
ERR1823512,9599
ERR1876141,7119
ERR1901819,9052
ERR1901826,9548
ERR1989828,1875
ERR1995156,8208
ERR1995157,7811
ERR1995158,7108
ERR1995198,13262
ERR1995199,10362
ERR1995200,10409
ERR1995201,9397
ERR1995202,3303
ERR1995203,9759
ERR1995204,69041
ERR1995205,72628
ERR1995206,70318
ERR2094164,7904
ERR2094165,17194
ERR2094166,9990
ERR2094167,12314
ERR2094168,15095
ERR2094169,15909
ERR2094170,7869
ERR2094171,34089
ERR2094172,9876
ERR2094173,9764
ERR2094174,8312
ERR2094175,87683
ERR2094176,46878
ERR2143759,4472
ERR2143760,4535
ERR2143761,5203
ERR2143762,3404
ERR2143764,6431
ERR2143766,4236
ERR2143767,3468
ERR2143771,2739
ERR2143772,3141
ERR2143773,5765
ERR2143775,5012
ERR2143776,1967
ERR2143777,4528
ERR2143778,4146
ERR2143779,7120
ERR2143780,3088
ERR2143781,4893
ERR2143782,6312
ERR2143784,6596
ERR2143785,6291
ERR2143788,4507
ERR2143789,3793
ERR2143790,1985
ERR2143792,5851
ERR2143794,6303
ERR2143795,6831
ERR2143796,4992
ERR2143797,4588
ERR2182130,22924
ERR2182131,25364
ERR2182132,21279
ERR2182133,23705
ERR2182134,22290
ERR2182135,26578
ERR2182136,29838
ERR2182137,29102
ERR2182138,25389
ERR2182139,33546
ERR2182416,26485
ERR2182417,22457
ERR2182418,32664
ERR2182419,30717
ERR2182420,29415
ERR2241655,21600
ERR2241678,37034
ERR2241681,57205
ERR2241685,44283
ERR2241709,30312
ERR2241715,31230
ERR2241718,40696
ERR2241734,24085
ERR2241735,34619
ERR2241736,36880
ERR2241741,32158
ERR2241756,35005
ERR2241761,28064
ERR2241856,57014
ERR2241872,40997
ERR2241906,23063
ERR2241911,26703
ERR2241921,36268
ERR2241927,49845
ERR2241935,42063
ERR2241950,34602
ERR2241951,34317
ERR2241953,25344
ERR2241954,40656
ERR2241958,46059
ERR2241960,48416
ERR2241964,33401
ERR2241969,43294
ERR2241973,43482
ERR2241974,51402
ERR2241975,36002
ERR2241976,42114
ERR2241979,23379
ERR2241980,57465
ERR2241981,19326
ERR2241984,30642
ERR2241985,41859
ERR2245453,57547
ERR2245491,46201
ERR2245492,52862
ERR2245493,39169
ERR2245494,45215
ERR2281798,4316
ERR2281799,4311
ERR2281801,4944
ERR2281802,5268
ERR2281803,5232
ERR2281804,4963
ERR2281805,4994
ERR2281806,4985
ERR2281807,5213
ERR2281808,11642
ERR2281809,11630
ERR2282056,8310
ERR2348704,5351
ERR2355557,11885
ERR2355632,15116
ERR2355634,7028
ERR2355699,14353
ERR2359757,8219
ERR2359759,6449
ERR2359764,13298
ERR2359765,13997
ERR2359766,5284
ERR2359767,5635
ERR2359768,15211
ERR2359769,7501
ERR2359771,6100
ERR2359824,7165
ERR2359825,8402
ERR2360801,7193
ERR2360802,16034
ERR2373147,6912
ERR2380791,13524
ERR2583791,9083
ERR2583792,9063
ERR2583793,5119
